timestamp,ticker,transaction_type,quantity,price_local,currency,closing_price_usd,market_event
2025-01-29T10:09:00+00:00,TSLA,BUY,195,238.27,USD,238.71,
2025-01-30T04:08:00+00:00,TSLA,BUY,120,223.31,USD,223.68,
2025-01-30T09:34:00+00:00,MSFT,BUY,151,338.05,GBP,424.24,
2025-01-30T13:39:00+00:00,AMZN,SELL,425,179.91,EUR,195.84,
2025-01-30T22:30:00+00:00,AAPL,SELL,368,181.48,USD,181.65,
2025-02-01T06:19:00+00:00,TSLA,DIVIDEND,36,38040.0,JPY,245.5,earnings_miss
2025-02-01T10:00:00+00:00,GOOGL,BUY,298,175.77,USD,176.67,
2025-02-02T04:32:00+00:00,AAPL,BUY,52,186.25,USD,185.68,
2025-02-02T23:37:00+00:00,TSLA,DIVIDEND,38,241.22,USD,243.73,
2025-02-04T02:55:00+00:00,TSLA,SELL,62,234.34,EUR,253.64,
2025-02-04T04:33:00+00:00,TSLA,BUY,170,223.7,EUR,242.82,
2025-02-04T16:06:00+00:00,MSFT,BUY,83,331.62,GBP,422.01,earnings_beat
2025-02-05T06:22:00+00:00,AAPL,BUY,278,169.38,EUR,183.34,guidance_raise
2025-02-09T04:21:00+00:00,AAPL,SELL,360,189.78,USD,187.6,
2025-02-09T07:05:00+00:00,GOOGL,SELL,296,175.49,USD,174.35,
2025-02-09T14:26:00+00:00,AMZN,SELL,231,193.71,USD,193.2,
2025-02-10T00:39:00+00:00,MSFT,BUY,498,422.47,USD,421.5,guidance_raise
2025-02-10T16:04:00+00:00,AAPL,BUY,334,186.46,USD,186.25,
2025-02-11T14:01:00+00:00,GOOGL,SELL,75,176.44,USD,176.79,
2025-02-12T01:42:00+00:00,AAPL,BUY,7,186.95,USD,188.17,earnings_miss
2025-02-12T08:17:00+00:00,MSFT,SELL,33,336.02,GBP,424.92,earnings_miss
2025-02-12T09:05:00+00:00,GOOGL,SELL,24,174.16,USD,174.25,
2025-02-12T14:01:00+00:00,AAPL,BUY,426,169.36,EUR,184.91,earnings_beat
2025-02-13T05:42:00+00:00,GOOGL,BUY,490,171.75,USD,172.65,dividend_announced
2025-02-13T09:52:00+00:00,GOOGL,DIVIDEND,35,179.22,USD,179.7,
2025-02-13T10:15:00+00:00,GOOGL,DIVIDEND,39,176.79,USD,176.47,
2025-02-14T10:40:00+00:00,GOOGL,BUY,291,181.37,USD,180.36,
2025-02-15T12:59:00+00:00,TSLA,BUY,204,264.49,USD,264.4,
2025-02-15T23:57:00+00:00,TSLA,BUY,216,230.55,EUR,250.2,
2025-02-16T01:57:00+00:00,AMZN,BUY,296,193.75,USD,194.03,
2025-02-16T21:08:00+00:00,AAPL,SELL,288,172.78,EUR,188.07,
2025-02-16T23:45:00+00:00,MSFT,BUY,394,427.95,USD,427.94,
2025-02-17T01:32:00+00:00,AMZN,BUY,369,174.79,CHF,198.68,earnings_miss
2025-02-17T11:11:00+00:00,MSFT,BUY,160,421.88,USD,420.59,earnings_miss
2025-02-17T19:59:00+00:00,AMZN,BUY,32,197.33,USD,197.64,earnings_beat
2025-02-18T02:22:00+00:00,AMZN,BUY,12,169.94,CHF,191.81,
2025-02-18T06:57:00+00:00,TSLA,SELL,64,35046.0,JPY,223.4,
2025-02-18T13:25:00+00:00,TSLA,BUY,345,236.51,USD,236.39,
2025-02-19T03:16:00+00:00,TSLA,DIVIDEND,26,257.96,USD,256.81,
2025-02-19T16:21:00+00:00,MSFT,BUY,420,433.32,USD,430.3,
2025-02-20T18:16:00+00:00,AMZN,BUY,378,200.02,USD,200.38,dividend_announced
2025-02-21T01:17:00+00:00,AMZN,SELL,27,193.62,USD,194.14,
2025-02-21T07:57:00+00:00,AAPL,SELL,46,169.66,EUR,184.18,
2025-02-21T08:33:00+00:00,TSLA,BUY,382,255.33,USD,254.43,earnings_miss
2025-02-21T18:44:00+00:00,MSFT,DIVIDEND,24,392.62,EUR,426.95,
2025-02-21T21:32:00+00:00,AAPL,BUY,425,185.11,USD,185.59,
2025-02-22T21:26:00+00:00,AMZN,BUY,459,201.4,USD,200.5,
2025-02-22T21:52:00+00:00,TSLA,BUY,464,257.1,USD,258.98,
2025-02-24T16:03:00+00:00,AAPL,BUY,353,167.85,CHF,189.47,earnings_beat
2025-02-24T23:35:00+00:00,TSLA,SELL,452,36073.0,JPY,233.07,
2025-02-25T06:44:00+00:00,GOOGL,DIVIDEND,36,176.72,USD,176.51,guidance_raise
2025-02-25T17:28:00+00:00,AAPL,BUY,147,177.96,EUR,193.85,
2025-02-26T17:56:00+00:00,GOOGL,DIVIDEND,39,27735.0,JPY,178.72,
2025-02-27T00:02:00+00:00,AAPL,DIVIDEND,39,192.08,USD,192.69,earnings_miss
2025-02-27T19:32:00+00:00,MSFT,SELL,23,418.44,USD,420.62,earnings_beat
2025-03-01T10:42:00+00:00,TSLA,BUY,387,230.51,EUR,249.66,
2025-03-01T15:18:00+00:00,AAPL,SELL,312,188.95,USD,188.7,
2025-03-01T22:23:00+00:00,TSLA,SELL,203,232.41,EUR,253.94,
